"Date","Price","Open","High","Low","Vol.","Change %"
"01/27/2023","469.31","464.09","469.31","463.59","","1.11%"
"01/26/2023","464.17","457.82","470.07","457.82","","1.39%"
"01/25/2023","457.80","472.22","473.30","457.01","","-3.05%"
"01/24/2023","472.21","483.61","483.61","471.61","","-2.30%"
"01/23/2023","483.31","489.57","490.53","480.32","","-1.28%"
"01/20/2023","489.57","480.49","489.79","480.49","","1.96%"
"01/19/2023","480.17","486.81","486.81","477.04","","-1.40%"
"01/18/2023","486.97","483.39","488.07","480.48","","0.74%"
"01/17/2023","483.39","474.14","484.77","474.01","","1.69%"
"01/16/2023","475.35","469.44","479.66","469.44","","1.27%"
"01/13/2023","469.37","459.55","470.67","459.55","","2.18%"
"01/12/2023","459.34","468.46","468.46","453.98","","-1.95%"
"01/11/2023","468.48","465.84","470.96","464.30","","0.65%"
"01/10/2023","465.47","456.08","469.51","449.01","","2.06%"
"01/09/2023","456.08","454.29","460.37","452.45","","0.31%"
"01/06/2023","454.67","449.37","455.52","448.47","","1.19%"
"01/05/2023","449.33","446.61","450.98","443.40","","0.63%"
"01/04/2023","446.51","465.73","465.73","446.51","","-4.13%"
"01/03/2023","465.73","476.41","480.54","465.57","","-2.09%"
"01/02/2023","475.69","465.23","478.39","465.23","","2.24%"
"12/30/2022","465.25","471.58","473.23","463.46","","-1.31%"
"12/29/2022","471.43","467.88","471.89","464.17","","0.75%"
"12/28/2022","467.92","481.77","482.44","466.85","","-2.88%"
"12/27/2022","481.81","481.43","489.61","480.91","","0.06%"
"12/23/2022","481.51","481.68","481.93","478.62","","-0.04%"
"12/22/2022","481.69","488.03","493.10","479.96","","-1.30%"
"12/21/2022","488.01","483.56","491.50","482.97","","0.93%"
"12/20/2022","483.50","477.64","483.84","468.70","","1.59%"
"12/19/2022","475.91","480.48","482.92","475.11","","-0.83%"
"12/16/2022","479.90","478.33","480.43","473.59","","0.38%"
"12/15/2022","478.07","475.59","480.77","471.48","","0.47%"
"12/14/2022","475.84","481.10","481.64","474.46","","-1.07%"
"12/13/2022","480.99","477.74","487.80","475.91","","0.68%"
"12/12/2022","477.73","470.90","477.73","468.74","","1.50%"
"12/09/2022","470.68","465.99","471.52","461.99","","1.01%"
"12/08/2022","465.99","460.01","466.26","458.31","","1.30%"
"12/07/2022","460.02","473.71","473.71","460.02","","-2.79%"
"12/06/2022","473.22","475.58","478.95","471.50","","-0.51%"
"12/05/2022","475.64","465.11","480.32","465.11","","2.33%"
"12/02/2022","464.81","473.94","473.94","463.05","","-1.93%"
"12/01/2022","473.94","474.90","477.75","471.43","","-0.13%"
"11/30/2022","474.55","472.62","474.55","466.68","","0.61%"
"11/29/2022","471.68","462.21","471.68","458.01","","2.08%"
"11/28/2022","462.07","468.39","468.91","458.25","","-1.31%"
"11/25/2022","468.21","467.84","468.83","463.29","","1.01%"
"11/24/2022","463.53","473.15","473.47","462.30","","-2.03%"
"11/23/2022","473.14","478.59","480.77","468.33","","-0.79%"
"11/22/2022","476.90","474.70","482.81","474.70","","0.53%"
"11/21/2022","474.37","471.51","482.80","470.95","","0.83%"
"11/18/2022","470.48","470.02","476.14","466.62","","0.10%"
"11/17/2022","470.02","467.68","472.40","464.62","","0.59%"
"11/16/2022","467.27","474.07","478.40","466.46","","-1.05%"
"11/15/2022","472.23","476.43","477.37","470.53","","-0.86%"
"11/14/2022","476.31","478.64","479.92","471.91","","-0.38%"
"11/11/2022","478.15","477.27","485.26","474.76","","0.35%"
"11/10/2022","476.49","486.61","487.34","474.46","","-2.12%"
"11/09/2022","486.82","487.25","491.50","483.44","","0.05%"
"11/08/2022","486.60","483.19","487.55","482.62","","0.78%"
"11/07/2022","482.81","475.54","483.71","474.32","","1.52%"
"11/04/2022","475.59","474.05","479.23","468.32","","0.53%"
"11/03/2022","473.07","461.62","473.32","458.91","","2.47%"
"11/02/2022","461.66","447.07","461.66","447.07","","3.26%"
"11/01/2022","447.07","432.82","447.57","432.82","","3.19%"
"10/31/2022","433.23","430.55","435.24","425.93","","0.59%"
"10/28/2022","430.69","432.34","434.24","427.32","","-0.41%"
"10/27/2022","432.45","438.39","440.10","431.72","","-1.35%"
"10/26/2022","438.36","437.17","440.28","433.38","","0.30%"
"10/25/2022","437.03","437.36","439.41","430.20","","-0.01%"
"10/24/2022","437.09","433.27","440.34","433.27","","0.91%"
"10/21/2022","433.13","429.25","434.15","425.55","","0.89%"
"10/20/2022","429.33","436.05","436.98","426.03","","-1.52%"
"10/19/2022","435.94","439.44","440.39","431.88","","-0.77%"
"10/18/2022","439.32","428.33","439.41","428.33","","2.49%"
"10/17/2022","428.66","417.73","428.69","417.67","","2.79%"
"10/14/2022","417.03","406.95","419.60","406.95","","2.72%"
"10/13/2022","406.00","395.00","406.00","395.00","","2.79%"
"10/12/2022","394.98","392.06","401.31","392.06","","0.74%"
"10/11/2022","392.07","405.65","405.65","391.23","","-3.32%"
"10/10/2022","405.54","405.41","406.71","393.31","","0.03%"
"10/07/2022","405.41","402.13","406.20","402.09","","0.81%"
"10/06/2022","402.16","396.73","406.94","396.58","","1.41%"
"10/05/2022","396.56","402.60","403.10","394.47","","-1.50%"
"10/04/2022","402.59","399.06","405.50","399.06","","0.90%"
"10/03/2022","398.98","394.88","399.95","391.35","","1.09%"
"09/30/2022","394.68","383.84","400.31","383.84","","2.78%"
"09/29/2022","384.00","396.70","400.41","380.04","","-3.24%"
"09/28/2022","396.86","395.90","397.86","382.51","","0.22%"
"09/27/2022","395.99","391.84","396.65","389.42","","1.04%"
"09/26/2022","391.91","387.16","392.31","378.71","","0.93%"
"09/23/2022","388.28","410.26","410.26","385.69","","-5.36%"
"09/22/2022","410.29","414.37","414.37","406.03","","-0.58%"
"09/21/2022","412.70","408.31","415.79","408.31","","1.09%"
"09/20/2022","408.24","400.06","412.76","400.06","","2.08%"
"09/19/2022","399.91","402.23","402.23","383.20","","-0.59%"
"09/16/2022","402.28","415.90","415.92","401.64","","-3.25%"
"09/15/2022","415.80","421.28","422.26","414.33","","-1.14%"
"09/14/2022","420.59","410.47","422.72","404.55","","2.45%"
"09/13/2022","410.53","406.44","413.46","403.61","","1.02%"
"09/12/2022","406.40","404.81","408.60","403.28","","0.41%"
"09/09/2022","404.74","389.69","405.44","389.69","","4.18%"
"09/08/2022","388.49","391.90","391.90","382.80","","-0.86%"
"09/07/2022","391.86","404.31","404.64","387.68","","-2.57%"
"09/06/2022","402.18","410.91","410.91","399.06","","-1.67%"
"09/05/2022","409.02","402.35","409.48","400.52","","1.66%"
"09/02/2022","402.35","398.42","403.33","397.07","","0.86%"
"09/01/2022","398.93","399.09","400.25","391.18","","0.61%"
"08/31/2022","396.51","397.96","399.19","390.79","","-0.31%"
"08/30/2022","397.74","404.04","404.60","395.95","","-1.54%"
"08/29/2022","403.95","404.55","404.55","396.82","","-0.11%"
"08/26/2022","404.40","411.92","412.32","401.90","","-1.82%"
"08/25/2022","411.89","416.05","417.04","411.89","","-0.94%"
"08/24/2022","415.81","411.43","416.41","405.47","","1.07%"
"08/23/2022","411.41","408.70","412.94","406.33","","0.63%"
"08/22/2022","408.84","414.06","414.56","404.83","","-1.28%"
"08/19/2022","414.16","422.88","423.04","412.88","","-1.91%"
"08/18/2022","422.21","419.67","426.73","417.13","","0.56%"
"08/17/2022","419.84","426.55","426.55","413.73","","-1.63%"
"08/16/2022","426.80","418.13","428.40","418.13","","2.09%"
"08/15/2022","418.08","429.28","432.74","415.05","","-2.11%"
"08/12/2022","427.11","423.37","430.13","423.37","","0.90%"
"08/11/2022","423.31","411.32","423.71","411.32","","2.90%"
"08/10/2022","411.38","407.78","415.73","406.16","","0.88%"
"08/09/2022","407.78","401.73","408.14","400.59","","1.47%"
"08/08/2022","401.89","394.89","402.19","394.89","","1.81%"
"08/05/2022","394.74","391.53","395.11","387.83","","0.79%"
"08/04/2022","391.64","398.08","399.57","388.32","","-1.61%"
"08/03/2022","398.05","397.93","403.27","396.73","","-0.04%"
"08/02/2022","398.19","396.69","399.52","396.19","","0.40%"
"08/01/2022","396.59","393.18","403.88","392.98","","0.89%"
"07/29/2022","393.10","393.44","396.20","391.81","","-0.06%"
"07/28/2022","393.32","391.86","397.66","391.86","","0.34%"
"07/27/2022","391.98","387.09","392.30","387.09","","1.27%"
"07/26/2022","387.06","385.70","391.58","385.70","","0.35%"
"07/25/2022","385.70","386.79","386.79","380.68","","-0.35%"
